service_id,specialty_id,service_name,duration_minutes,base_price,preparation_required,preparation_note,bhyt_supported,private_insurance_supported,self_pay_available,estimated_bhyt_price_note,estimated_private_price_note
SV001,S001,Khám Tim mạch cơ bản,30,520000,no,"Mang theo kết quả điện tim, siêu âm tim hoặc đơn thuốc cũ nếu có.",no,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV002,S001,Tư vấn tăng huyết áp,25,450000,no,Nên ghi lại chỉ số huyết áp gần đây.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV003,S001,Tư vấn rối loạn nhịp tim,30,560000,no,Mang kết quả điện tim nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV004,S002,Khám Da liễu tổng quát,20,400000,no,Không bôi thuốc/mỹ phẩm lên vùng da cần khám nếu có thể.,no,yes,yes,Thường không áp dụng BHYT trong demo.,Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV005,S002,Tư vấn mụn và chăm sóc da,25,430000,no,Mang danh sách mỹ phẩm/thuốc đang dùng.,no,yes,yes,Thường không áp dụng BHYT trong demo.,Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV006,S002,Khám dị ứng da,25,450000,no,Ghi lại thức ăn/thuốc/mỹ phẩm nghi ngờ gây dị ứng.,no,yes,yes,Thường không áp dụng BHYT trong demo.,Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV007,S003,Khám Nhi khoa,25,450000,no,Mang sổ tiêm chủng và đơn thuốc gần nhất nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV008,S003,Tư vấn dinh dưỡng trẻ em,30,480000,no,"Chuẩn bị cân nặng, chiều cao và chế độ ăn gần đây.",yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV009,S003,Khám sốt/ho trẻ em,25,450000,no,"Ghi lại nhiệt độ, thuốc đã dùng và thời điểm sốt.",yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV010,S004,Khám Tai Mũi Họng,20,390000,no,Không cần chuẩn bị đặc biệt.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV011,S004,Tư vấn viêm xoang/viêm họng,25,420000,no,Mang kết quả nội soi hoặc đơn thuốc cũ nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV012,S004,Khám ù tai/nghe kém,25,430000,no,Ghi lại thời điểm xuất hiện triệu chứng.,no,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV013,S005,Khám Tiêu hóa,30,500000,no,Mang kết quả nội soi/xét nghiệm cũ nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV014,S005,Tư vấn đau dạ dày,25,470000,no,"Ghi lại thời điểm đau, thức ăn liên quan và thuốc đã dùng.",yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV015,S005,Tư vấn rối loạn tiêu hóa,25,460000,no,Ghi lại số lần đi ngoài và triệu chứng đi kèm.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV016,S006,Khám Tổng quát,30,430000,no,Mang kết quả xét nghiệm gần đây nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV017,S006,Gói khám sức khỏe tổng quát cơ bản,60,1200000,yes,Có thể cần nhịn ăn 6–8 giờ nếu làm xét nghiệm máu.,no,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV018,S006,Tư vấn sức khỏe định kỳ,30,450000,no,Chuẩn bị danh sách thuốc đang dùng nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV019,S007,Khám Sản phụ khoa,30,550000,no,"Không đặt lịch trong kỳ kinh nếu khám định kỳ, trừ khi có triệu chứng cần khám.",yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV020,S007,Khám thai định kỳ,30,600000,yes,Mang sổ khám thai và kết quả siêu âm/xét nghiệm trước đó.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV021,S007,Tư vấn rối loạn kinh nguyệt,25,520000,no,Ghi lại chu kỳ kinh nguyệt gần đây.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV022,S008,Khám Cơ xương khớp,30,460000,no,Mang phim X-quang/MRI hoặc đơn thuốc cũ nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV023,S008,Tư vấn đau lưng/đau vai gáy,25,430000,no,"Mô tả vị trí đau, thời gian đau và yếu tố tăng/giảm đau.",yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV024,S008,Khám chấn thương nhẹ,30,480000,no,Mang kết quả chụp chiếu nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV025,S009,Khám Nội tiết,30,480000,no,"Mang xét nghiệm đường huyết, HbA1c hoặc tuyến giáp nếu có.",no,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV026,S009,Tư vấn đái tháo đường,30,520000,no,Ghi lại đường huyết gần đây và thuốc đang dùng.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV027,S009,Tư vấn tuyến giáp,25,500000,no,"Mang kết quả TSH, FT4, siêu âm tuyến giáp nếu có.",no,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV028,S010,Khám Thần kinh,30,520000,no,Mang phim MRI/CT hoặc đơn thuốc cũ nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV029,S010,Tư vấn đau đầu/chóng mặt,25,490000,no,"Ghi lại thời điểm, tần suất và yếu tố khởi phát.",yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV030,S010,Tư vấn mất ngủ,25,460000,no,Ghi lại thời gian ngủ và thói quen sinh hoạt.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV031,S011,Khám Mắt tổng quát,20,380000,no,Mang kính đang dùng nếu có.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV032,S011,Đo thị lực và tư vấn khúc xạ,25,420000,no,Không cần chuẩn bị đặc biệt.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV033,S011,Khám đỏ mắt/khô mắt,20,390000,no,Không tự ý dùng thuốc nhỏ mắt trước khám nếu có thể.,yes,yes,yes,"BHYT tùy tuyến, giấy tờ hợp lệ và quy định hiện hành.",Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV034,S012,Khám Răng Hàm Mặt,25,360000,no,Đánh răng trước khi đến khám nếu có thể.,no,yes,yes,Thường không áp dụng BHYT trong demo.,Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV035,S012,Tư vấn đau răng/viêm lợi,25,380000,no,Ghi lại thời điểm đau và thuốc đã dùng.,no,yes,yes,Thường không áp dụng BHYT trong demo.,Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
SV036,S012,Kiểm tra sâu răng,20,350000,no,Không cần chuẩn bị đặc biệt.,no,yes,yes,Thường không áp dụng BHYT trong demo.,Bảo hiểm tư nhân cần quầy bảo hiểm kiểm tra quyền lợi bảo lãnh theo hợp đồng.
